,borough,date,latitude,location,longitude,number_of_persons_injured,number_of_persons_killed
0,MANHATTAN,2016-01-01,40.7534818,"{u'type': u'Point', u'coordinates': [-73.9808885, 40.7534818]}",-73.9808885,0,0
1,MANHATTAN,2016-01-01,40.7509908,"{u'type': u'Point', u'coordinates': [-73.9906233, 40.7509908]}",-73.9906233,0,0
2,MANHATTAN,2016-01-01,40.7503184,"{u'type': u'Point', u'coordinates': [-73.9911106, 40.7503184]}",-73.9911106,0,0
3,MANHATTAN,2016-01-01,40.7597301,"{u'type': u'Point', u'coordinates': [-73.9916833, 40.7597301]}",-73.9916833,0,0
4,MANHATTAN,2016-01-01,40.7222418,"{u'type': u'Point', u'coordinates': [-73.9862873, 40.7222418]}",-73.9862873,0,0
5,MANHATTAN,2016-01-01,40.8614639,"{u'type': u'Point', u'coordinates': [-73.9249989, 40.8614639]}",-73.9249989,0,0
6,MANHATTAN,2016-01-01,40.738552,"{u'type': u'Point', u'coordinates': [-73.9996824, 40.738552]}",-73.9996824,0,0
7,MANHATTAN,2016-01-01,40.7966809,"{u'type': u'Point', u'coordinates': [-73.9349137, 40.7966809]}",-73.9349137,0,0
8,MANHATTAN,2016-01-01,40.8088424,"{u'type': u'Point', u'coordinates': [-73.9658127, 40.8088424]}",-73.9658127,2,0
9,MANHATTAN,2016-01-01,40.8648086,"{u'type': u'Point', u'coordinates': [-73.9193623, 40.8648086]}",-73.9193623,0,0
10,MANHATTAN,2016-01-01,40.8139383,"{u'type': u'Point', u'coordinates': [-73.9484189, 40.8139383]}",-73.9484189,0,0
11,MANHATTAN,2016-01-01,40.7387967,"{u'type': u'Point', u'coordinates': [-73.977147, 40.7387967]}",-73.977147,0,0
12,MANHATTAN,2016-01-01,40.8089731,"{u'type': u'Point', u'coordinates': [-73.9483252, 40.8089731]}",-73.9483252,0,0
13,MANHATTAN,2016-01-01,40.8102764,"{u'type': u'Point', u'coordinates': [-73.9473705, 40.8102764]}",-73.9473705,2,0
14,MANHATTAN,2016-01-01,40.7251925,"{u'type': u'Point', u'coordinates': [-73.9870443, 40.7251925]}",-73.9870443,0,0
15,MANHATTAN,2016-01-01,40.7272875,"{u'type': u'Point', u'coordinates': [-74.0006314, 40.7272875]}",-74.0006314,0,0
16,MANHATTAN,2016-01-01,40.7407008,"{u'type': u'Point', u'coordinates': [-74.0089603, 40.7407008]}",-74.0089603,0,0
17,MANHATTAN,2016-01-01,40.8178994,"{u'type': u'Point', u'coordinates': [-73.9380903, 40.8178994]}",-73.9380903,0,0
18,MANHATTAN,2016-01-01,40.7131792,"{u'type': u'Point', u'coordinates': [-73.9925007, 40.7131792]}",-73.9925007,0,0
19,MANHATTAN,2016-01-01,40.7563515,"{u'type': u'Point', u'coordinates': [-74.0054034, 40.7563515]}",-74.0054034,0,0
20,MANHATTAN,2016-01-01,40.7661449,"{u'type': u'Point', u'coordinates': [-73.9972347, 40.7661449]}",-73.9972347,0,0
21,MANHATTAN,2016-01-01,40.8045253,"{u'type': u'Point', u'coordinates': [-73.9515724, 40.8045253]}",-73.9515724,0,0
22,MANHATTAN,2016-01-01,40.8031164,"{u'type': u'Point', u'coordinates': [-73.9563196, 40.8031164]}",-73.9563196,1,0
23,MANHATTAN,2016-01-01,40.7579729,"{u'type': u'Point', u'coordinates': [-73.9855364, 40.7579729]}",-73.9855364,0,0
24,MANHATTAN,2016-01-01,40.7237466,"{u'type': u'Point', u'coordinates': [-74.0061151, 40.7237466]}",-74.0061151,0,0
25,MANHATTAN,2016-01-01,40.7136919,"{u'type': u'Point', u'coordinates': [-74.0137542, 40.7136919]}",-74.0137542,0,0
26,MANHATTAN,2016-01-01,40.7230221,"{u'type': u'Point', u'coordinates': [-73.9988131, 40.7230221]}",-73.9988131,1,0
27,MANHATTAN,2016-01-01,40.8609571,"{u'type': u'Point', u'coordinates': [-73.9265034, 40.8609571]}",-73.9265034,1,0
28,MANHATTAN,2016-01-01,40.8589127,"{u'type': u'Point', u'coordinates': [-73.9229593, 40.8589127]}",-73.9229593,0,0
29,MANHATTAN,2016-01-01,40.8663357,"{u'type': u'Point', u'coordinates': [-73.9250042, 40.8663357]}",-73.9250042,0,0
30,MANHATTAN,2016-01-01,40.867769,"{u'type': u'Point', u'coordinates': [-73.9259174, 40.867769]}",-73.9259174,0,0
31,MANHATTAN,2016-01-01,40.8486847,"{u'type': u'Point', u'coordinates': [-73.9392147, 40.8486847]}",-73.9392147,0,0
32,MANHATTAN,2016-01-01,40.8050573,"{u'type': u'Point', u'coordinates': [-73.9390342, 40.8050573]}",-73.9390342,1,0
33,MANHATTAN,2016-01-01,40.7939814,"{u'type': u'Point', u'coordinates': [-73.9722814, 40.7939814]}",-73.9722814,0,0
34,MANHATTAN,2016-01-01,40.7621793,"{u'type': u'Point', u'coordinates': [-73.9661291, 40.7621793]}",-73.9661291,0,0
35,MANHATTAN,2016-01-01,40.7333357,"{u'type': u'Point', u'coordinates': [-73.9831855, 40.7333357]}",-73.9831855,0,0
36,MANHATTAN,2016-01-01,40.7788219,"{u'type': u'Point', u'coordinates': [-73.953985, 40.7788219]}",-73.953985,1,0
