,borough,date,latitude,location,longitude,number_of_persons_injured
0,MANHATTAN,2016-01-01,40.8609571,"{u'type': u'Point', u'coordinates': [-73.9265034, 40.8609571]}",-73.9265034,1
1,MANHATTAN,2016-01-01,40.7230221,"{u'type': u'Point', u'coordinates': [-73.9988131, 40.7230221]}",-73.9988131,1
2,MANHATTAN,2016-01-01,40.7256734,"{u'type': u'Point', u'coordinates': [-74.0057798, 40.7256734]}",-74.0057798,2
3,MANHATTAN,2016-01-01,40.7218863,"{u'type': u'Point', u'coordinates': [-73.9773477, 40.7218863]}",-73.9773477,1
4,MANHATTAN,2016-01-01,40.8133899,"{u'type': u'Point', u'coordinates': [-73.9562587, 40.8133899]}",-73.9562587,1
5,MANHATTAN,2016-01-01,40.7313217,"{u'type': u'Point', u'coordinates': [-73.9886127, 40.7313217]}",-73.9886127,1
6,MANHATTAN,2016-01-01,40.7992577,"{u'type': u'Point', u'coordinates': [-73.9390504, 40.7992577]}",-73.9390504,2
7,MANHATTAN,2016-01-01,40.7438808,"{u'type': u'Point', u'coordinates': [-73.9815589, 40.7438808]}",-73.9815589,1
8,MANHATTAN,2016-01-01,40.8088424,"{u'type': u'Point', u'coordinates': [-73.9658127, 40.8088424]}",-73.9658127,2
9,MANHATTAN,2016-01-01,40.7788219,"{u'type': u'Point', u'coordinates': [-73.953985, 40.7788219]}",-73.953985,1
10,MANHATTAN,2016-01-01,40.7921853,"{u'type': u'Point', u'coordinates': [-73.968017, 40.7921853]}",-73.968017,1
11,MANHATTAN,2016-01-01,40.738171,"{u'type': u'Point', u'coordinates': [-73.9776019, 40.738171]}",-73.9776019,2
12,MANHATTAN,2016-01-01,40.8031164,"{u'type': u'Point', u'coordinates': [-73.9563196, 40.8031164]}",-73.9563196,1
13,MANHATTAN,2016-01-01,40.8102764,"{u'type': u'Point', u'coordinates': [-73.9473705, 40.8102764]}",-73.9473705,2
14,MANHATTAN,2016-01-01,40.738505,"{u'type': u'Point', u'coordinates': [-73.9917978, 40.738505]}",-73.9917978,1
15,MANHATTAN,2016-01-01,40.8050573,"{u'type': u'Point', u'coordinates': [-73.9390342, 40.8050573]}",-73.9390342,1
16,MANHATTAN,2016-01-02,40.7241363,"{u'type': u'Point', u'coordinates': [-73.9926041, 40.7241363]}",-73.9926041,1
17,MANHATTAN,2016-01-02,40.7226976,"{u'type': u'Point', u'coordinates': [-73.9878638, 40.7226976]}",-73.9878638,1
18,MANHATTAN,2016-01-02,40.8005073,"{u'type': u'Point', u'coordinates': [-73.9679733, 40.8005073]}",-73.9679733,4
19,MANHATTAN,2016-01-02,40.8013526,"{u'type': u'Point', u'coordinates': [-73.9678754, 40.8013526]}",-73.9678754,1
20,MANHATTAN,2016-01-02,40.7358679,"{u'type': u'Point', u'coordinates': [-73.976365, 40.7358679]}",-73.976365,1
21,MANHATTAN,2016-01-03,40.7647362,"{u'type': u'Point', u'coordinates': [-73.988033, 40.7647362]}",-73.988033,1
