,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
0,MANHATTAN,Following Too Closely,Unspecified,,,,250       WEST 125 STREET               ,2017-10-01,40.809574,"{u'type': u'Point', u'coordinates': [-73.949776, 40.809574]}",-73.949776,0,0,0,0,0,0,0,0,,,19:30,3768453,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10027
1,MANHATTAN,Following Too Closely,Driver Inattention/Distraction,,,,,2017-10-01,40.723648,"{u'type': u'Point', u'coordinates': [-73.99103, 40.723648]}",-73.99103,0,0,0,0,0,0,0,0,CHRYSTIE STREET,EAST HOUSTON STREET             ,7:50,3768418,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10002
2,MANHATTAN,Unspecified,Unspecified,,,,,2017-10-01,40.806915,"{u'type': u'Point', u'coordinates': [-73.93557, 40.806915]}",-73.93557,0,0,0,0,0,0,0,0,EAST 129 STREET,LEXINGTON AVENUE                ,7:10,3768032,SPORT UTILITY / STATION WAGON,,,,,10035
3,MANHATTAN,Obstruction/Debris,,,,,,2017-10-01,40.827057,"{u'type': u'Point', u'coordinates': [-73.95202, 40.827056999999996]}",-73.95202,1,0,0,0,0,0,1,0,RIVERSIDE DRIVE,WEST 145 STREET                 ,14:20,3766524,BICYCLE,,,,,10031
4,MANHATTAN,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-10-01,40.863792,"{u'type': u'Point', u'coordinates': [-73.91942, 40.863792]}",-73.91942,0,0,0,0,0,0,0,0,WEST 206 STREET,10 AVENUE                       ,4:17,3766133,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10034
5,MANHATTAN,Driver Inattention/Distraction,,,,,,2017-10-01,40.7224,"{u'type': u'Point', u'coordinates': [-73.99165, 40.7224]}",-73.99165,0,0,2,0,0,0,2,0,CHRYSTIE STREET,STANTON STREET                  ,22:00,3765637,PASSENGER VEHICLE,,,,,10002
6,MANHATTAN,Turning Improperly,Unspecified,,,,329       WEST 42 STREET                ,2017-10-01,40.757656,"{u'type': u'Point', u'coordinates': [-73.99079, 40.757656]}",-73.99079,0,0,2,0,0,0,2,0,,,14:05,3765201,PASSENGER VEHICLE,,,,,10036
7,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-10-01,40.75734,"{u'type': u'Point', u'coordinates': [-73.98602, 40.75734]}",-73.98602,0,0,0,0,0,0,0,0,WEST 44 STREET,7 AVENUE                        ,16:15,3765144,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,10036
8,MANHATTAN,Following Too Closely,Following Too Closely,,,,,2017-10-01,40.72628,"{u'type': u'Point', u'coordinates': [-73.98034, 40.72628]}",-73.98034,1,0,0,0,0,0,1,0,EAST 9 STREET,AVENUE B                        ,12:15,3765043,PASSENGER VEHICLE,BICYCLE,,,,10009
9,MANHATTAN,Unspecified,,,,,,2017-10-01,40.74782,"{u'type': u'Point', u'coordinates': [-73.99665, 40.74782]}",-73.99665,0,0,0,0,0,0,0,0,8 AVENUE,WEST 27 STREET                  ,14:25,3763726,PASSENGER VEHICLE,TAXI,,,,10001
10,MANHATTAN,Unspecified,,,,,,2017-10-01,,,,0,0,0,0,0,0,0,0,WEST 42 STREET,12 AVENUE                       ,17:30,3763719,,,,,,10036
11,MANHATTAN,Passing or Lane Usage Improper,Unspecified,,,,,2017-10-01,,,,0,0,0,0,0,0,0,0,WEST 43 STREET,12 AVENUE                       ,23:40,3763710,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10036
12,MANHATTAN,Unspecified,Unspecified,,,,81        ORCHARD STREET                ,2017-10-01,40.717754,"{u'type': u'Point', u'coordinates': [-73.99044, 40.717754]}",-73.99044,0,0,0,0,0,0,0,0,,,1:30,3763460,PASSENGER VEHICLE,,,,,10002
13,MANHATTAN,Unspecified,,,,,,2017-10-01,40.79423,"{u'type': u'Point', u'coordinates': [-73.94695, 40.79423]}",-73.94695,0,0,0,0,0,0,0,0,EAST 108 STREET,PARK AVENUE                     ,16:00,3763014,PASSENGER VEHICLE,,,,,10029
14,MANHATTAN,Following Too Closely,Backing Unsafely,,,,198       CANAL STREET                  ,2017-10-01,40.716988,"{u'type': u'Point', u'coordinates': [-73.99831, 40.716988]}",-73.99831,0,0,0,0,0,0,0,0,,,13:27,3763000,PASSENGER VEHICLE,,,,,10013
15,MANHATTAN,Unspecified,Unspecified,,,,550       GRAND STREET                  ,2017-10-01,40.714115,"{u'type': u'Point', u'coordinates': [-73.98041, 40.714115]}",-73.98041,0,0,0,0,0,0,0,0,,,5:00,3762970,PASSENGER VEHICLE,,,,,10002
16,MANHATTAN,Driver Inattention/Distraction,Unspecified,,,,,2017-10-01,40.718018,"{u'type': u'Point', u'coordinates': [-73.99996, 40.718018]}",-73.99996,0,0,0,0,0,0,0,0,CANAL STREET,CENTRE STREET                   ,23:05,3762873,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10013
17,MANHATTAN,Unsafe Lane Changing,Unspecified,,,,25        CENTRAL PARK WEST             ,2017-10-01,40.770145,"{u'type': u'Point', u'coordinates': [-73.98041, 40.770145]}",-73.98041,0,0,0,0,0,0,0,0,,,14:15,3762872,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10023
